from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bahrain,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guanabara,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang
Rosarito,11350,2041,13197,13957,13560,7116,13144,8282,12570,14323,7035,11512,11704,12831,6714,12570,12889,7919,11026,7199,10980,13529,7363,13472,6043,12557,11895,5111,9321,6627,9953,12421,921,13557,29,12911,10162,10457,5920,8141,5745,11808,7441,7234,5285,13119,15648,13283,12844,9381,7493,12872,13928,12655,11380,13009,13499,11125,6200,4977,9362,13337,6295,13467,8035,6591,11715,11742,5467,4685,6837,9379,12751,14515,5421,10374,4983,5286,4847,7395,13220,12315,14128,5778,4759,13369,11309,5806,7787,12071,7808,5497,9385,10697,9976,11715,5372,1564,14307,14032,11039,13990,4519,7039,13477,13184,5888,14221,13107,13186,7281,7008,1129,7923,14092,13705,4319,11660,5330,11959,7352,12981,9825,11250,10577,5486,5019,4985,4976,5937,4929,12859,9302,4979,5392,5725,13858,14509,3657,8240,11427,13341,9661,10393,13322,8138,11359,11444,12273,6203,13233,4536,1601,11061,5782,10920,5869,6040,7040,4706,11435,13825,7515,,13186,14076,13391,13464,12713,12897,5268,5325,8879,11641,7933,12850,7935,5269,4789,5849,6627,5030,5029,12304,12919,4993,4788,13115,10683,7931,14107,6143,4841,6926,13597,13591,6092,5370,11450,5418,14051,14350,5055,14660,5239,13624,5417,5842,5112,6328,14488,13330,5917
Rosignano LNG,12161,11679,14007,1188,5786,12305,13955,11155,677,1554,6477,12323,12515,393,12963,677,1793,11513,4265,12103,4200,5749,12260,5666,14433,643,4444,14425,11576,13076,6432,5216,14012,5768,13162,4320,10986,11282,14310,11180,14194,8400,12145,11994,14321,2023,4652,2198,4581,10889,6210,3922,1158,1559,4160,260,5697,11936,13665,14539,11141,437,13220,5661,5077,13091,4270,4307,14116,14899,12996,11473,3573,3518,14270,11199,14545,14364,14636,12292,2119,1005,1360,14227,14906,2284,12120,13970,11674,1127,11633,14039,11111,11510,10814,12525,14177,14656,3223,1262,4400,1220,15005,12413,5671,2099,14206,1453,2106,17,12350,12317,12198,12393,1324,950,9471,12471,14318,8550,6068,1885,6304,7841,11391,14051,14589,14593,14538,11865,14642,3908,11401,14540,14201,13728,1088,3424,10012,11124,12238,5446,3907,11218,5473,11177,4331,4104,4818,13181,452,15099,14692,4333,14231,11731,14193,14430,13013,8880,12246,1057,5792,13186,,3017,2331,5661,535,3851,14334,14307,4405,1609,5421,4582,11456,14335,14742,13893,13070,14463,14595,1187,455,14545,14724,2043,4689,11514,3047,13595,8654,12686,822,2506,14469,14170,12254,14156,1277,1577,14658,3600,14306,2565,14223,13821,14420,13255,1715,2270,13961
Rostock,13075,12569,14921,3786,5587,13219,14869,12069,2400,4153,7355,13236,13429,2661,13877,2399,1501,12427,5179,13016,5114,5550,13174,5466,15347,2387,4531,15339,12489,13989,7346,5255,14903,5568,14053,3913,11900,12196,15224,12094,15108,9313,13064,12908,15235,1245,2559,847,4207,11803,7089,3462,3757,1498,4451,2838,5497,12849,14579,15453,12055,3167,14133,5462,5932,14004,4413,4451,15030,15813,13910,12387,3108,1426,15184,12113,15458,15277,15550,13206,1226,2076,3958,15141,15820,817,13033,14884,12588,2143,12547,14952,12024,12424,11727,13439,15091,15546,351,3862,5314,3820,15919,13327,5472,970,15120,4051,1307,3015,13263,13231,13088,13307,3922,3535,10361,13385,15232,9464,6948,1367,7218,8755,12305,14965,15503,15507,15452,12755,15555,3449,12315,15454,15115,14642,3688,556,10902,12037,13151,5246,4719,12132,5274,12091,4676,4370,4777,14094,3063,16013,15583,5247,15145,12645,15107,15343,13927,9770,13160,3655,6671,14076,3017,,778,5463,2527,3394,15254,15226,5285,2491,6307,4218,12375,15254,15661,14812,13989,15382,15514,1875,2733,15465,15643,1264,5609,12433,139,14514,9552,13605,3410,705,15388,15089,13174,15075,3865,4164,15577,718,15225,659,15142,14740,15339,14174,4302,843,14880
Rotterdam,12389,11883,14236,3101,5181,12533,14183,11383,1714,3467,6670,12551,12743,1975,13191,1714,815,11741,4493,12331,4428,5144,12488,5061,14661,1701,4049,14653,11804,13304,6660,4820,14217,5162,13367,3593,11215,11510,14538,11408,14422,8628,12367,12222,14549,560,2531,163,3887,11117,6403,3142,3072,812,3884,2153,5091,12164,13894,14767,11369,2481,13448,5056,5286,13319,3909,3947,14344,15127,13224,11701,2787,1398,14498,11427,14773,14592,14864,12521,661,1391,3272,14455,15134,157,12348,14198,11902,1458,11861,14267,11339,11738,11042,12753,14405,14860,1000,3176,4628,3134,15233,12641,5066,284,14434,3365,792,2330,12578,12546,12403,12621,3236,2849,9675,12699,14547,8778,6262,681,6532,8069,11619,14279,14818,14822,14766,12069,14870,3128,11629,14769,14429,13956,3002,1201,10217,11352,12466,4841,4033,11446,4868,11405,4102,3813,4352,13409,2377,15327,14897,4561,14459,11959,14422,14658,13241,9084,12474,2969,5985,13391,2331,778,,5059,1830,3075,14556,14529,4588,1794,5610,3899,11678,14557,14963,14115,13291,14685,14817,1177,2036,14767,14946,567,4911,11736,811,13817,8854,12908,2713,303,14691,14392,12476,14378,3168,3466,14880,1364,14527,329,14445,14043,14641,13477,3604,146,14182
Sabine Pass,13645,11957,15491,6430,513,13788,15439,12638,5043,6797,6741,13806,13999,5304,14447,5043,4791,12997,6219,13586,6153,348,13744,62,15916,5030,1644,15909,13059,14559,7916,1551,14290,243,13441,1795,12470,12765,15793,12664,15678,9883,13627,13477,15805,4647,6571,4955,1347,12373,6474,2165,6401,4566,2141,5482,117,13419,15149,16023,12625,5811,13574,4,5286,14574,1829,1795,15600,16383,14480,12957,2350,5441,15754,12683,16028,15847,16120,13776,4706,4721,6602,15711,16390,5040,13603,15454,13158,4656,13117,15522,12594,12993,12297,14009,15661,14934,5685,6506,6354,6464,16489,13897,67,4855,15690,6695,4494,5659,13833,13801,12476,13877,6565,6178,9749,13955,15802,10033,6333,4790,7788,9325,12875,15534,16073,16077,16021,12143,16125,2151,12885,16024,15685,15212,6331,5886,10290,12607,13721,471,3838,12702,384,12661,2238,2112,1248,14381,5707,16583,14971,6286,15715,13215,15677,15913,14497,9158,13729,6298,6056,13464,5661,5463,5059,,5185,2316,15817,15790,4661,4405,5684,1353,12939,15818,16224,15376,14552,15945,16078,4593,5391,16028,16207,4643,6642,12997,5489,15077,8931,14168,6069,5071,15952,15653,13737,15639,6523,6822,16141,6042,15788,5277,15706,15304,15902,14737,6960,4992,15443
Sagunto,11688,11205,13534,1400,5313,11832,13482,10682,241,1766,6004,11849,12042,155,12490,241,1320,11040,3792,11629,3727,5276,11787,5193,13960,170,3971,13952,11102,12602,5959,4742,13539,5295,12689,3847,10513,10809,13837,10707,13721,7926,11676,11521,13848,1550,4179,1725,4107,10416,5737,3448,1371,1086,3686,338,5223,11462,13192,14066,10668,765,12746,5188,4613,12617,3796,3834,13643,14426,12523,11000,3099,3045,13797,10726,14071,13890,14163,11819,1646,531,1571,13754,14433,1811,11647,13497,11201,654,11160,13565,10637,11037,10340,12052,13704,14182,2749,1475,3927,1433,14532,11940,5198,1625,13733,1664,1633,533,11876,11844,11725,11920,1535,1148,8998,11998,13845,8077,5595,1412,5831,7368,10918,13578,14116,14120,14065,11392,14168,3435,10928,14067,13728,13255,1301,2950,9539,10650,11764,4973,3434,10745,5000,10704,3858,3631,4345,12707,674,14626,14219,3860,13758,11258,13720,13956,12540,8407,11773,1268,5319,12713,535,2527,1830,5185,,3382,13865,13838,3935,1139,4952,4113,10987,13866,14272,13424,12600,13994,14126,718,384,14076,14255,1574,4220,11045,2578,13126,8185,12217,1037,2033,14000,13701,11785,13687,1492,1790,14189,3131,13836,2095,13754,13352,13950,12785,1928,1801,13491
Saint John,12860,11389,14706,4620,2444,13004,14654,11853,3234,4987,6173,13021,13214,3495,13662,3233,2856,12212,4991,12801,4925,2408,12959,2324,15132,3221,1758,15124,12274,13774,7131,2323,13723,2426,12873,823,11685,11980,15008,11879,14893,9098,12840,12692,15020,2650,4581,2970,1123,11588,5906,295,4591,2643,1883,3672,2355,12634,14364,15238,11840,4001,13006,2319,4782,13789,1719,1734,14815,15598,13695,12172,318,3451,14969,11898,15243,15062,15335,12991,2709,2910,4792,14926,15605,3056,12818,14669,12373,2891,12332,14737,11809,12209,11512,13224,14876,14366,3616,4696,5126,4654,15704,13112,2329,2871,14905,4885,2504,3849,13048,13016,11909,13092,4756,4369,9181,13170,15017,9249,5765,2824,7003,8540,12090,14749,15288,15292,15237,11575,15340,274,12100,15239,14900,14427,4522,3817,9722,11822,12936,2104,3324,11917,2131,11876,2150,1822,1845,13813,3897,15798,14403,5059,14930,12430,14892,15128,13712,8590,12945,4489,5489,12897,3851,3394,3075,2316,3382,,15029,15002,4091,2767,5113,1128,12151,15030,15437,14588,13765,15158,15290,2756,3581,15240,15419,2643,5411,12209,3416,14290,8360,13381,4258,3002,15164,14865,12949,14851,4713,5011,15353,3969,15001,3204,14918,14516,15115,13950,5149,3005,14656
Sakai LNG,6263,7202,8110,15104,15913,2596,8057,3195,13717,15471,10609,6425,6617,13978,1632,13717,14046,2831,10758,2444,10744,15881,2278,15825,995,13704,14247,251,4234,1528,7939,14773,4594,15910,5280,15197,5074,5370,872,3621,697,8125,3086,2714,493,14276,16873,14451,15188,4294,11067,15068,15075,13813,13733,14156,15851,6038,1085,367,4275,14484,3892,15820,11465,1492,14067,14095,436,739,1740,4292,14827,15739,182,5287,372,47,476,2310,14372,13462,15275,730,1041,14537,6222,749,2700,13218,2721,381,4298,5610,4889,6627,256,4321,15476,15180,10677,15138,887,2180,15830,14352,840,15369,14327,14333,2206,2360,6290,2838,15239,14852,9421,6573,92,8275,10926,14139,8118,7573,5490,416,715,719,365,4952,767,15054,4214,368,217,636,15005,15677,8813,3309,6340,15694,12014,5306,15675,3617,13711,13796,14625,3362,14381,1234,4135,10734,734,5833,821,992,1943,9555,6348,14972,11089,5268,14334,15254,14556,15817,13865,15029,,83,11664,12807,11504,15201,3196,2,578,791,1528,289,725,13460,14073,369,561,14280,10146,2844,15284,1029,9507,2539,14750,14760,1044,253,6364,402,15205,15503,818,15837,38,14802,188,784,242,1230,15642,14507,859
Sakaide,6236,7258,8082,15077,15886,2610,8030,3168,13690,15443,10665,6397,6590,13951,1611,13690,14019,2804,10731,2450,10717,15854,2241,15797,914,13677,14220,307,4207,1491,7912,14746,4651,15883,5336,15170,5047,5342,791,3634,615,8098,3098,2728,411,14249,16845,14424,15161,4266,11124,15040,15048,13785,13706,14129,15824,6010,1048,423,4248,14457,3949,15793,11424,1455,14040,14068,355,795,1704,4265,14800,15712,101,5260,429,59,532,2273,14345,13435,15248,649,959,14510,6195,667,2673,13191,2693,344,4270,5582,4861,6600,174,4377,15449,15152,10650,15110,943,2177,15803,14325,758,15341,14300,14306,2185,2374,6346,2801,15212,14825,9478,6546,10,8248,10982,14111,8091,7546,5462,334,633,637,422,5009,685,15027,4187,425,135,616,14978,15650,8869,3285,6312,15667,11987,5279,15648,3631,13684,13769,14598,3419,14353,1152,4192,10707,653,5806,739,910,1906,9612,6321,14945,11146,5325,14307,15226,14529,15790,13838,15002,83,,11635,12778,11564,15172,3166,84,638,708,1490,349,642,13431,14044,429,621,14251,10116,2815,15255,990,9567,2570,14721,14732,961,170,6334,319,15176,15474,735,15808,98,14772,105,701,302,1191,15612,14478,776
Salvador,9486,7371,11332,5174,4757,9629,11279,8479,3787,5541,2161,9647,9840,4048,10287,3787,4084,8837,2954,9427,2892,4725,9585,4669,11757,3774,3091,11750,8900,10400,3757,3617,9705,4754,8855,4107,8311,8606,11634,8505,11519,5724,9468,9318,11646,4297,6839,4483,4041,8214,1894,4069,5145,3851,2577,4226,4695,9260,10990,11864,8466,4555,8989,4664,753,10415,2911,2939,11441,12224,10321,8798,3947,5706,11595,8524,11869,11688,11961,9617,4388,3532,5346,11552,12230,4569,9444,11295,8999,3288,8958,11363,8435,8834,8138,9850,11501,10348,5508,5250,3058,5208,12330,9738,4674,4384,11531,5439,4303,4403,9674,9642,7891,9718,5309,4922,5163,9796,11643,5874,1753,4177,3629,5165,8716,11375,11914,11918,11862,7557,11966,4055,8726,11865,11526,11053,5075,5709,5705,8448,9562,4538,858,8543,4519,8502,2555,2641,3469,9795,4451,12424,10385,3017,11556,9056,11518,11754,10338,4572,9570,5042,1477,8879,4405,5285,4588,4661,3935,4091,11664,11635,,2851,1104,4047,8780,11659,12065,11217,10393,11786,11919,3516,4137,11869,12048,4294,3060,8838,5307,10918,4345,10009,4814,4791,11793,11493,9578,11480,5269,5567,11982,5860,11629,4824,11547,11144,11743,10578,5705,4530,11284
Santa Cruz de Tenerife,10628,10133,12474,2378,4533,10772,12422,9621,991,2745,4931,10789,10982,1252,11430,991,1284,9980,2732,10569,2666,4496,10727,4412,12900,978,3089,12892,10042,11542,4899,3820,12467,4514,11617,3183,9453,9748,12776,9647,12661,6866,10613,10461,12788,1514,4109,1689,3396,9356,4664,2832,2349,1050,2668,1430,4443,10402,12132,13006,9608,1759,11686,4408,3522,11557,2901,2939,12583,13366,11463,9940,2522,2975,12737,9666,13011,12830,13103,10759,1610,724,2550,12694,13373,1775,10586,12437,10141,495,10100,12505,9577,9977,9280,10992,12644,13110,2713,2454,2867,2412,13472,10880,4418,1589,12673,2643,1563,1607,10816,10784,10652,10860,2513,2126,7925,10938,12785,7017,4523,1376,4771,6308,9858,12517,13056,13060,13005,10319,13108,2819,9868,13007,12668,12195,2279,2914,8466,9590,10704,4192,2407,9685,4220,9644,2849,2706,3474,11647,1655,13566,13147,2800,12698,10198,12660,12896,11480,7334,10713,2246,4247,11641,1609,2491,1794,4405,1139,2767,12807,12778,2851,,3877,3392,9924,12803,13210,12361,11538,12931,13063,694,1336,13014,13192,1504,3158,9982,2508,12063,7111,11154,2014,1997,12937,12638,10723,12624,2468,2767,13126,3061,12774,2026,12691,12289,12888,11723,2905,1732,12429
Sao Francisco do Sul,9594,6425,11441,6190,5780,9738,11388,8588,4804,6557,1173,9756,9948,5065,10396,4803,5106,8946,3741,9536,3683,5748,9693,5691,11866,4791,4114,11320,9009,10509,3865,4640,8759,5777,7909,5130,8420,8715,11743,8614,11627,5833,9577,9427,11734,5319,7862,5505,5064,8322,904,5092,6161,4873,3600,5242,5718,9369,11099,11249,8574,5571,8042,5687,370,10524,3934,3962,11550,11417,10429,8906,4970,6729,11499,8632,11255,11528,11285,9726,5409,4548,6362,11660,11714,5591,9553,11403,9108,4304,9067,11400,8544,8943,8247,9959,11497,9402,6529,6266,3823,6224,11423,9846,5697,5406,11640,6455,5326,5419,9783,9751,6945,9827,6326,5939,4217,9904,11572,5983,763,5199,3737,5274,8824,11484,11815,11782,11248,6611,11725,5078,8835,11251,11430,11161,6092,6730,4758,8557,9671,5561,1881,8651,5542,8610,3578,3663,4492,8849,5467,11627,9439,3798,11664,9164,11627,11863,10446,3626,9679,6059,482,7933,5421,6307,5610,5684,4952,5113,11504,11564,1104,3877,,5070,8889,11507,11345,11325,10502,11319,11826,4533,5153,11262,11328,5316,3701,8947,6329,11027,3399,10118,5830,5813,11901,11494,9687,11588,6285,6583,11920,6882,11478,5846,11456,11253,11327,10687,6721,5552,11393
Savannah,13022,11343,14868,5352,1481,13166,14816,12015,3965,5718,6127,13183,13376,4226,13824,3965,3663,12374,5371,12963,5305,1444,13121,1361,15294,3952,1209,15286,12436,13936,7293,1574,13676,1463,12827,602,11847,12142,15170,12041,15055,9260,13004,12854,15182,3474,5405,3795,6,11750,5860,977,5323,3439,1532,4404,1391,12796,14526,15400,12002,4732,12960,1356,4744,13951,1225,1191,14977,15760,13857,12334,1168,4275,15131,12060,15405,15224,15497,13153,3534,3642,5523,15088,15767,3880,12980,14831,12535,3605,12494,14899,11971,12371,11674,13386,15038,14320,4440,5427,5506,5386,15866,13274,1366,3695,15067,5616,3328,4581,13210,13178,11862,13254,5487,5100,9135,13332,15179,9411,5719,3648,7165,8702,12252,14911,15450,15454,15398,11529,15502,964,12262,15401,15062,14589,5253,4641,9676,11984,13098,1141,3235,12079,1168,12038,1726,1471,1096,13767,4628,15960,14356,5439,15092,12592,15054,15290,13874,8544,13107,5220,5442,12850,4582,4218,3899,1353,4113,1128,15201,15172,4047,3392,5070,,12316,15195,15601,14753,13929,15322,15455,3503,4320,15405,15584,3470,5794,12374,4243,14455,8317,13546,4997,3826,15329,15030,13114,15016,5452,5750,15518,4796,15165,4031,15083,14681,15279,14114,5888,3832,14820
Semarang,4112,9696,5958,12226,13035,1187,5905,1221,10839,12592,9193,4273,4465,11100,1716,10839,11168,858,7880,856,7866,13003,1201,12946,3284,10826,11369,3234,2260,1969,5065,11895,7385,13032,7948,12319,2923,3218,3160,1167,3045,5317,1411,992,3172,11398,13995,11573,12310,2296,9180,12189,12197,10934,10855,11278,12973,3886,2516,3308,2301,11606,3384,12942,8634,1980,11189,11217,2967,3663,1899,2318,11949,12861,3126,3135,3314,3220,3400,1233,11494,10584,12397,3078,3757,11659,4070,2821,726,10340,747,2889,2324,3458,2737,4476,3028,7176,12598,12302,7799,12260,3811,1166,12952,11474,3057,12491,11449,11455,1160,1149,8804,1350,12361,11974,10177,4422,3174,5467,9039,11260,5239,4764,3338,2901,3440,3444,3307,4573,3492,12176,2241,3309,3057,2575,12127,12799,10216,384,4188,12816,9136,3154,12797,1164,10833,10918,11747,2338,11502,3950,6990,7856,3082,3682,3044,3280,1916,9740,4196,12094,8905,7935,11456,12375,11678,12939,10987,12151,3196,3166,8780,9924,8889,12316,,3197,3510,2749,1968,3258,3451,10570,11184,3319,3493,11390,7256,869,12395,2450,9551,1517,11861,11882,3325,3026,4203,3012,12316,12614,3514,12947,3167,11912,3084,2676,3235,2117,12752,11618,2816
Senboku,6264,7202,8110,15105,15914,2597,8058,3196,13718,15471,10610,6425,6618,13979,1632,13718,14047,2832,10758,2444,10744,15882,2278,15825,996,13705,14248,252,4235,1529,7940,14774,4595,15911,5281,15197,5075,5370,873,3621,698,8126,3086,2715,494,14277,16873,14452,15189,4294,11068,15068,15076,13813,13733,14157,15852,6038,1085,367,4276,14485,3893,15821,11456,1493,14068,14096,437,739,1741,4293,14828,15740,183,5287,373,48,476,2311,14373,13463,15276,731,1042,14538,6222,749,2700,13218,2721,382,4298,5610,4889,6628,257,4321,15476,15180,10678,15138,887,2180,15830,14353,840,15369,14328,14334,2206,2361,6290,2839,15240,14853,9422,6574,92,8276,10926,14139,8119,7573,5490,416,715,719,366,4953,767,15055,4215,369,217,637,15006,15678,8813,3309,6340,15695,12015,5306,15675,3618,13712,13797,14626,3363,14381,1235,4136,10735,735,5834,821,992,1944,9556,6349,14973,11090,5269,14335,15254,14557,15818,13866,15030,2,84,11659,12803,11507,15195,3197,,579,792,1529,289,725,13460,14074,369,561,14280,10146,2844,15284,1030,9508,2540,14751,14760,1045,254,6364,402,15206,15504,818,15837,39,14802,188,785,242,1231,15642,14508,859
Sendai,6670,6722,8517,15511,16320,2911,8464,3602,14125,15878,10447,6832,7024,14386,2038,14124,14453,3239,11165,2774,11151,16289,2687,16232,1514,14111,14655,427,4641,1948,8347,15181,4089,16317,4801,15604,5481,5777,1391,3935,1216,8532,3400,3029,872,14684,17280,14859,15595,4701,10905,15475,15482,14220,14140,14563,16258,6445,1517,294,4682,14892,3959,16227,11537,1913,14474,14502,955,194,2158,4699,15235,16146,737,5694,299,602,134,2719,14780,13869,15683,1249,505,14944,6629,1255,3107,13625,3128,813,4705,6017,5296,7035,775,3823,15883,15587,11084,15545,337,2529,16237,14759,1359,15776,14735,14740,2612,2675,5810,3248,15646,15259,9001,6980,646,8683,10764,14546,8525,7980,5897,920,606,573,292,5007,516,15461,4622,295,708,1044,15412,16084,8339,3716,6747,16101,12421,5713,16082,3932,14119,14204,15032,3442,14788,710,3637,11141,1253,6240,1340,1511,2361,9195,6755,15380,10927,4789,14742,15661,14963,16224,14272,15437,578,638,12065,13210,11345,15601,3510,579,,1258,1948,348,616,13866,14480,310,28,14686,10552,3250,15690,1461,9207,2812,15157,15167,1563,773,6770,921,15612,15910,710,16243,557,15208,735,1230,430,1650,16048,14914,1326
Shanghai,5822,7796,7668,14663,15472,2436,7616,2754,13276,15029,10809,5984,6176,13537,1216,13276,13605,2390,10317,2114,10303,15440,1827,15383,689,13263,13806,923,3793,1077,7498,14332,5150,15469,5861,14756,4633,4928,566,3320,469,7684,2927,2554,666,13835,16431,14010,14747,3852,11267,14626,14634,13371,13292,13715,15410,5597,561,1039,3834,14043,4071,15379,10973,1042,13626,13654,453,1259,1290,3851,14386,15298,663,4846,1044,768,1148,1859,13931,13021,14834,502,1271,14096,5781,222,2259,12777,2280,515,3856,5169,4448,6186,542,4857,15035,14739,10236,14697,1362,1792,15389,13911,462,14927,13886,13892,1790,2200,6884,2387,14798,14411,10059,6132,716,7834,11126,13697,7677,7132,5049,460,955,959,1038,5207,1007,14613,3773,1040,618,516,14564,15236,9412,2872,5898,15253,11573,4865,15234,3317,13270,13355,14184,3527,13939,1445,4672,10293,506,5392,449,686,1492,10169,5907,14531,11290,5849,13893,14812,14115,15376,13424,14588,791,708,11217,12361,11325,14753,2749,792,1258,,1079,969,965,13020,13633,1049,1241,13840,9706,2404,14844,521,10096,2461,14310,14319,729,540,5924,505,14765,15064,1008,15397,798,14362,619,101,923,781,15202,14067,91
Shenzhen,4998,8560,6845,13839,14648,2105,6792,1930,12453,14206,10767,5160,5352,12714,708,12452,12781,1567,9493,1600,9479,14617,998,14560,1612,12439,12983,1625,2969,8,6675,13509,5956,14645,6640,13932,3809,4105,1489,2807,1373,6860,2594,2223,1500,13012,15608,13187,13923,3029,10756,13803,13810,12548,12468,12891,14586,4773,844,1740,3010,13220,4010,14555,10243,71,12802,12830,1295,2081,271,3027,13563,14474,1449,4022,1746,1549,1838,1031,13108,12197,14011,1406,2085,13272,4957,1149,1435,11953,1456,1217,3033,4345,3624,5363,1356,5679,14211,13915,9412,13873,2184,1279,14565,13087,1385,14104,13063,13068,1169,1869,7648,1559,13974,13587,10603,5308,1497,7011,10615,12874,6853,6308,4225,1230,1768,1772,1739,5155,1820,13789,2950,1742,1380,928,13740,14412,10132,2091,5075,14429,10749,4041,14410,2804,12447,12532,13360,3363,13116,2278,5494,9469,1410,4568,1372,1608,492,10290,5083,13708,10519,6627,13070,13989,13291,14552,12600,13765,1528,1490,10393,11538,10502,13929,1968,1529,1948,1079,,1667,1778,12194,12808,1749,1930,13014,8880,1578,14018,778,10102,2140,13485,13495,1652,1353,5098,1339,13940,14238,1841,14571,1498,13536,1406,1004,1623,377,14376,13242,1144
Shimizu,6391,6964,8238,15232,16041,2664,8185,3324,13846,15599,10421,6553,6745,14107,1758,13845,14175,2960,10886,2522,10872,16010,2407,15953,1224,13833,14376,134,4362,1668,8068,14902,4356,16038,5042,15325,5203,5498,1101,3689,926,8253,3154,2783,722,14405,17001,14580,15317,4422,10879,15196,15203,13941,13861,14284,15980,6166,1228,128,4403,14613,3841,15948,11495,1632,14196,14223,665,501,1878,4420,14956,15867,447,5415,134,312,238,2439,14501,13590,15404,959,811,14666,6350,966,2828,13346,2849,524,4426,5738,5017,6756,485,4083,15604,15308,10805,15266,649,2188,15958,14480,1069,15497,14456,14461,2332,2429,6052,2968,15367,14981,9242,6701,357,8404,10738,14267,8246,7701,5618,631,912,879,127,4889,822,15182,4343,130,418,763,15134,15805,8580,3437,6468,15822,12142,5434,15803,3686,13840,13925,14753,3324,14509,1008,3897,10862,963,5962,1050,1221,2081,9341,6476,15101,10902,5030,14463,15382,14685,15945,13994,15158,289,349,11786,12931,11319,15322,3258,289,348,969,1667,,918,13587,14201,134,326,14407,10273,2972,15411,1171,9326,2580,14878,14888,1274,483,6491,631,15333,15631,1012,15964,268,14929,446,941,135,1369,15769,14635,1036
Shinminato,6524,6975,8370,15365,16174,3030,8318,3456,13978,15731,10928,6685,6878,14239,1909,13978,14307,3092,11018,2806,11004,16142,2529,16085,1162,13965,14508,909,4494,1779,8200,15034,4330,16171,5041,15457,5335,5630,1039,4013,864,8386,3519,3148,476,14537,17133,14712,15449,4554,11386,15328,15336,14073,13993,14417,16112,6298,1308,868,4536,14745,4424,16081,11587,1743,14328,14356,586,439,1991,4552,15088,16000,597,5547,874,701,704,2561,14633,13722,15536,897,200,14798,6482,922,2960,13478,2981,769,4558,5870,5149,6888,476,4037,15736,15440,10938,15398,542,2485,16090,14613,1007,15629,14588,14594,2483,2794,6063,3089,15500,15113,9239,6834,650,8536,11245,14399,8379,7833,5750,593,561,547,867,5488,130,15315,4475,870,552,996,15266,15938,8592,3573,6600,15955,12275,5566,15935,4010,13972,14057,14886,3883,14641,691,3852,10995,901,6094,988,1159,2194,9526,6608,15233,11408,5029,14595,15514,14817,16078,14126,15290,725,642,11919,13063,11826,15455,3451,725,616,965,1778,918,,13720,14333,885,625,14540,10405,3104,15544,1258,9568,2996,15010,15020,1212,473,6623,540,15465,15763,490,16097,739,15061,553,958,907,1480,15901,14767,1032
