from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Bahrain,Guanabara
Rosarito,11350,2041,13197,13922,13560,7116,13144,8282,12570,13437,7035,11704,12831,6714,12570,12889,7919,11026,7199,10980,13529,7363,13472,6043,12557,11895,5111,9321,6627,9953,12421,921,13557,29,12911,10162,10457,5920,8141,5745,11808,7441,7234,5285,13119,15648,13283,12844,9381,7493,12872,13928,12655,11380,13009,13499,11125,6200,4977,9362,13337,6295,13467,6591,11715,11742,5467,4685,6837,9379,12751,14515,5421,10374,4983,5286,4847,7395,13220,12315,13460,5778,4759,13369,11309,5806,7787,12071,7808,5497,9385,10697,9976,11715,5372,1564,14307,14032,11039,13990,4519,7039,13477,13184,5888,13505,13107,13186,7281,7008,1129,7923,14079,13705,4319,11660,5330,11959,7352,12981,9825,11250,10577,5486,5019,4985,4976,,4929,12859,9302,4979,5392,5725,13858,14509,3657,8240,11427,13341,9661,10393,13322,8138,11359,11444,12273,6203,13233,4536,1601,11061,5782,10920,5869,6040,7040,4706,11435,13825,7515,,13186,14076,13391,13464,12713,12897,5268,5325,8879,11641,7933,12850,7935,5269,4789,5849,6627,5030,5029,12304,12919,4993,4788,13115,10683,7931,14107,6143,4841,6926,13597,13591,6092,5370,11450,5418,14051,13585,5055,14660,5239,13624,5417,5842,5112,6328,14488,13330,5917,11512,
Rosignano LNG,4513,11679,1585,1188,5786,8640,1867,6507,677,1554,6477,3142,393,8336,677,1793,6865,4265,8308,4200,5749,7612,5666,9785,643,4444,9777,6711,8427,6432,5216,14012,5768,13162,4320,4694,4642,9662,8166,9546,8400,8728,8432,9673,2023,4652,2198,4581,6024,6210,3922,1158,1559,4160,260,5697,4273,9017,9891,6277,437,10794,5661,8442,4270,4307,9468,10251,8348,6608,3573,3518,9622,4676,9896,9715,9988,7644,2119,1005,1360,9579,10258,2284,4472,9322,7026,1127,6985,9390,6246,4373,4837,4877,9529,13833,3223,1262,4400,1220,10357,8289,5671,2099,9558,1453,2106,17,7721,8602,12198,7745,1324,950,9471,4823,9670,8550,6068,1885,6304,7841,4470,9403,9941,9945,9890,11430,9993,3908,6537,9892,9553,9080,1088,3424,10012,7190,4589,5446,3907,4569,5473,8163,4331,4104,4818,9748,452,10451,13647,4333,9583,4061,9545,9781,8365,8880,4598,1057,5792,13186,,3017,2331,5661,535,3851,9673,9645,4405,1609,5421,4582,7521,9673,10080,9231,8408,9801,9933,1187,455,9884,10062,2043,4689,6852,3047,8933,8654,8959,822,2506,9807,9508,4585,9494,1277,1577,9996,3600,9644,2565,9561,9159,9758,8593,1715,2270,9299,4675,
Rostock,7111,12569,4183,3786,5587,11238,4465,9105,2400,4153,7355,5740,2661,10934,2399,1501,9463,5179,10906,5114,5550,10210,5466,12383,2387,4531,12375,9309,11025,7346,5255,14903,5568,14053,3913,7292,7240,12260,10764,12144,9313,11314,11030,12271,1245,2559,847,4207,8622,7089,3462,3757,1498,4451,2838,5497,6871,11615,12489,8875,3167,13392,5462,11040,4413,4451,12066,12849,10946,9206,3108,1426,12220,7274,12494,12313,12586,10242,1226,2076,3958,12177,12856,817,7070,11920,9624,2143,9583,11988,8844,6971,7435,7475,12127,15546,351,3862,5314,3820,12955,10887,5472,970,12156,4051,1307,3015,10319,11200,13088,10343,3922,3535,10361,7421,12268,9464,6948,1367,7218,8755,7068,12001,12539,12543,12488,12755,12591,3449,9135,12490,12151,11678,3688,556,10902,9788,7187,5246,4719,7167,5274,10761,4676,4370,4777,12346,3063,13049,15583,5247,12181,6659,12143,12379,10963,9770,7196,3655,6671,14076,3017,,778,5463,2527,3394,12259,12232,5285,2491,6307,4218,10107,12260,12666,11818,10994,12387,12520,1875,2733,12470,12649,1264,5609,9439,139,11519,9552,11546,3410,705,12394,12095,7171,12081,3865,4164,12583,718,12230,659,12148,11745,12344,11179,4302,843,11885,7273,
Rotterdam,6425,11883,3497,3101,5181,10552,3779,8419,1714,3467,6670,5055,1975,10248,1714,815,8777,4493,10221,4428,5144,9524,5061,11697,1701,4049,11689,8623,10340,6660,4820,14217,5162,13367,3593,6606,6555,11574,10078,11458,8628,10617,10345,11585,560,2531,163,3887,7937,6403,3142,3072,812,3884,2153,5091,6185,10930,11803,8189,2481,12706,5056,10355,3909,3947,11380,12163,10260,8521,2787,1398,11534,6588,11809,11628,11900,9557,661,1391,3272,11491,12170,157,6384,11234,8939,1458,8897,11303,8158,6286,6750,6790,11441,14860,1000,3176,4628,3134,12269,10202,5066,284,11471,3365,792,2330,9634,10514,12403,9658,3236,2849,9675,6735,11583,8778,6262,681,6532,8069,6383,11315,11854,11858,11802,12069,11906,3128,8449,11805,11465,10992,3002,1201,10217,9102,6502,4841,4033,6481,4868,10075,4102,3813,4352,11660,2377,12363,14897,4561,11495,5974,11458,11694,10277,9084,6510,2969,5985,13391,2331,778,,5059,1830,3075,11562,11534,4588,1794,5610,3899,9410,11562,11969,11121,10297,11690,11822,1177,2036,11773,11951,567,4911,8742,811,10822,8854,10848,2713,303,11696,11397,6474,11383,3168,3466,11886,1364,11533,329,11450,11048,11647,10482,3604,146,11188,6587,
Sabine Pass,9755,11957,6827,6430,513,13788,7108,11748,5043,6797,6741,8384,5304,13578,5043,4791,12107,6219,13550,6153,348,12854,62,15026,5030,1644,15019,11953,13669,7916,1551,14290,243,13441,1795,9936,9884,14903,12664,14788,9883,13627,13477,14915,4647,6571,4955,1347,11266,6474,2165,6401,4566,2141,5482,117,9514,14259,15133,11518,5811,13574,4,13684,1829,1795,14710,15493,13590,11850,2350,5441,14864,9918,15138,14957,15230,12886,4706,4721,6602,14821,15500,5040,9713,14564,12268,4656,12227,14632,11488,9615,10079,10119,14771,14934,5685,6506,6354,6464,15599,13531,67,4855,14800,6695,4494,5659,12963,13801,12476,12987,6565,6178,9749,10065,14912,10033,6333,4790,7788,9325,9712,14644,15183,15187,15131,12143,15235,2151,11778,15134,14795,14322,6331,5886,10290,12431,9831,471,3838,9811,384,12661,2238,2112,1248,14381,5707,15693,14971,6286,14825,9303,14787,15023,13607,9158,9840,6298,6056,13464,5661,5463,5059,,5185,2316,14917,14890,4661,4405,5684,1353,12766,14918,15324,14476,13652,15045,15178,4593,5391,15128,15307,4643,6642,12097,5489,14178,8931,14168,6069,5071,15052,14753,9830,14739,6523,6822,15241,6042,14888,5277,14806,14404,15002,13837,6960,4992,14543,9916,
Sagunto,4724,11205,1796,1400,5313,8851,2078,6718,241,1766,6004,3354,155,8547,241,1320,7076,3792,8520,3727,5276,7823,5193,9996,170,3971,9988,6922,8639,5959,4742,13539,5295,12689,3847,4905,4854,9873,8377,9757,7926,8941,8644,9884,1550,4179,1725,4107,6236,5737,3448,1371,1086,3686,338,5223,4484,9229,10102,6488,765,11005,5188,8654,3796,3834,9679,10462,8559,6820,3099,3045,9833,4887,10108,9927,10199,7856,1646,531,1571,9790,10469,1811,4683,9533,7237,654,7196,9602,6457,4585,5049,5088,9740,14044,2749,1475,3927,1433,10568,8501,5198,1625,9769,1664,1633,533,7933,8813,11725,7956,1535,1148,8998,5034,9882,8077,5595,1412,5831,7368,4681,9614,10153,10157,10101,11392,10205,3435,6748,10104,9764,9291,1301,2950,9539,7401,4801,4973,3434,4780,5000,8374,3858,3631,4345,9959,674,10662,13859,3860,9794,4273,9757,9993,8576,8407,4809,1268,5319,12713,535,2527,1830,5185,,3382,9886,9858,3935,1139,4952,4113,7734,9886,10293,9445,8621,10014,10146,718,384,10097,10275,1574,4220,7066,2578,9146,8185,9172,1037,2033,10020,9721,4798,9707,1492,1790,10210,3131,9857,2095,9774,9372,9971,8806,1928,1801,9512,4886,
Saint John,7945,11389,5017,4620,2444,12072,5299,9939,3234,4987,6173,6575,3495,11768,3233,2856,10297,4991,11740,4925,2408,11044,2324,13217,3221,1758,13209,10143,11859,7131,2323,13723,2426,12873,823,8126,8074,13094,11598,12978,9098,12161,11864,13105,2650,4581,2970,1123,9456,5906,295,4591,2643,,3672,2355,7705,12449,13323,9709,4001,13006,2319,11875,1719,1734,12900,13683,11780,10040,318,3451,13054,8108,13328,13147,13420,11076,2709,2910,4792,13011,13690,3056,7904,12754,10458,2891,10417,12823,9678,7805,8269,8309,12961,14366,3616,4696,5126,4654,13789,11722,2329,2871,12990,4885,2504,3849,11153,12034,11909,11177,4756,4369,9181,8255,13102,9249,5765,2824,7003,8540,7902,12835,13373,13377,13322,11575,13425,274,9969,13324,12985,12512,4522,3817,9722,10622,8021,2104,3324,8001,2131,11595,2150,,1845,13180,3897,13883,14403,5059,13015,7493,12977,13213,11797,8590,8030,4489,5489,12897,3851,3394,3075,2316,3382,,13106,13079,4091,2767,5113,1128,10955,13107,13513,12665,11842,13235,13367,2756,3581,13317,13496,2643,5411,10286,3416,12367,8360,12393,4258,3002,13241,12942,8019,12928,4713,5011,13430,3969,13077,3204,12995,12593,13191,12027,5149,3005,12733,8107,
Sakai LNG,6263,7202,8110,8835,15045,2596,8057,3195,9910,8350,10609,6617,9816,1632,9909,11052,2831,10758,2444,10744,15008,2278,14925,995,9916,13703,251,4234,1528,7939,14474,4594,15027,5280,13579,5074,5370,872,3621,697,8125,3086,2714,493,11282,13911,11457,13840,4294,11067,13180,9424,10818,13418,9811,14955,6038,1085,367,4275,9497,3892,14920,1492,13528,13566,436,739,1740,4292,12831,12777,182,5287,372,47,476,2310,11378,10263,8373,730,1041,11543,6222,749,2700,10386,2721,381,4298,5610,4889,6627,256,4321,12481,9529,10677,9487,887,2180,14930,11357,840,8418,11365,9673,2206,2360,6290,2838,8992,9014,9421,6573,92,8275,10926,11144,8118,7573,5490,416,715,719,365,4952,767,13167,4214,368,217,636,9354,12682,8813,3309,6340,14705,12014,5306,14732,3617,13590,13363,14077,3362,9235,1234,4135,10734,734,5833,821,992,1943,9555,6348,8824,11089,5268,9673,12259,11562,14917,9886,13106,,83,11664,10881,11504,13855,3196,2,578,791,1528,289,725,10460,9576,369,561,11316,10146,2844,12320,1029,9507,2539,9178,11765,1044,253,6364,402,9563,8498,818,12873,38,11838,188,784,242,1230,9402,11543,859,6425,
Sakaide,6236,7258,8082,8808,15018,2610,8030,3168,9882,8322,10665,6590,9789,1611,9882,11024,2804,10731,2450,10717,14981,2241,14897,914,9889,13676,307,4207,1491,7912,14447,4651,14999,5336,13552,5047,5342,791,3634,615,8098,3098,2728,411,11255,13883,11430,13812,4266,11124,13153,9397,10791,13391,9784,14928,6010,1048,423,4248,9470,3949,14893,1455,13501,13539,355,795,1704,4265,12804,12750,101,5260,429,59,532,2273,11351,10236,8346,649,959,11515,6195,667,2673,10358,2693,344,4270,5582,4861,6600,174,4377,12454,9501,10650,9459,943,2177,14903,11330,758,8391,11338,9646,2185,2374,6346,2801,8965,8986,9478,6546,10,8248,10982,11117,8091,7546,5462,334,633,637,422,5009,685,13140,4187,425,135,616,9327,12655,8869,3285,6312,14677,11987,5279,14705,3631,13563,13335,14050,3419,9207,1152,4192,10707,653,5806,739,910,1906,9612,6321,8797,11146,5325,9645,12232,11534,14890,9858,13079,83,,11635,10852,11564,13826,3166,84,638,708,1490,349,642,10431,9547,429,621,11287,10116,2815,12291,990,9567,2570,9149,11738,961,170,6334,319,9534,8469,735,12844,98,11809,105,701,302,1191,9373,11514,776,6397,
Salvador,8499,7371,5571,5174,4757,9629,5852,8479,3787,5541,2161,7128,4048,10287,3787,4084,8837,2954,9427,2892,4725,9585,4669,11757,3774,3091,11750,8900,10400,3757,3617,9705,4754,8855,4107,8311,8606,11634,8505,11519,5724,9468,9318,11646,4297,6839,4483,4041,8214,1894,4069,5145,3851,2577,4226,4695,8258,10990,11864,8466,4555,8989,4664,10415,2911,2939,11441,12224,10321,8798,3947,5706,11595,8524,11869,11688,11961,9617,4388,3532,5346,11552,12230,4569,8457,11295,8999,3288,8958,11363,8435,8359,8138,8863,11501,10348,5508,5250,3058,5208,12330,9738,4674,4384,11531,5439,4303,4403,9674,9642,7891,9718,5309,4922,5163,8809,11643,5874,1753,4177,3629,5165,8456,11375,11914,11918,11862,7557,11966,4055,8726,11865,11526,11053,5075,5709,5705,8448,8575,4538,858,8543,4519,8502,2555,2641,3469,9795,4451,12424,10385,3017,11556,8047,11518,11754,10338,4572,8583,5042,1477,8879,4405,5285,4588,4661,3935,4091,11664,11635,,2851,1104,4047,8780,11659,12065,11217,10393,11786,11919,3516,4137,11869,12048,4294,3060,8838,5307,10918,4345,10009,4814,4791,11793,11493,8575,11480,5269,5567,11982,5860,11629,4824,11547,11144,11743,10578,5705,4530,11284,8660,
Santa Cruz de Tenerife,5703,10133,2775,2378,4533,9830,3056,7696,991,2745,4931,4332,1252,9526,991,1284,8055,2732,9498,2666,4496,8802,4412,10974,978,3089,10967,7901,9617,4899,3820,12467,4514,11617,3183,5884,5832,10851,9356,10736,6866,9917,9622,10863,1514,4109,1689,3396,7214,4664,2832,2349,1050,,1430,4443,5462,10207,11081,7466,1759,11686,4408,9632,2901,2939,10658,11441,9538,7798,2522,2975,10812,5866,11086,10905,11178,8834,1610,724,2550,10769,11448,1775,5661,10512,8216,495,8175,10580,7436,5563,6027,6067,10719,13110,2713,2454,2867,2412,11547,9479,4418,1589,10748,2643,1563,1607,8911,9792,10652,8935,2513,2126,7925,6013,10860,7017,4523,1376,4771,6308,5660,10592,11131,11135,11079,10319,11183,2819,7726,11082,10743,10270,2279,2914,8466,8379,5779,4192,,5759,4220,9353,2849,,3474,10938,1655,11641,13147,2800,10773,5251,10735,10971,9555,7334,5788,2246,4247,11641,1609,2491,1794,4405,1139,2767,10881,10852,2851,,3877,3392,8711,10863,11269,10421,9597,10990,11123,694,1336,11073,11252,1504,3158,8042,2508,10123,7111,10149,2014,1997,10997,10698,5775,10684,2468,2767,11186,3061,10833,2026,10751,10349,10947,9782,2905,1732,10488,5864,
Sao Francisco do Sul,9515,6425,6587,6190,5780,9738,6869,8588,4804,6557,1173,8144,5065,10396,4803,5106,8946,3741,9536,3683,5748,9693,5691,11866,4791,4114,11320,9009,10509,3865,4640,8759,5777,7909,5130,8420,8715,11743,8614,11627,5833,9577,9427,11734,5319,7862,5505,5064,8322,904,5092,6161,4873,3600,5242,5718,9275,11099,11249,8574,5571,8042,5687,10524,3934,3962,11550,11417,10429,8906,4970,6729,11499,8632,11255,11528,11285,9726,5409,4548,6362,11660,11714,5591,9474,11403,9108,4304,9067,11400,8544,8943,8247,9879,11497,9402,6529,6266,3823,6224,11423,9846,5697,5406,11640,6455,5326,5419,9783,9751,6945,9827,6326,5939,4217,9825,11572,5983,763,5199,3737,5274,8824,11484,11815,11782,11248,6611,11725,5078,8835,11251,11430,11161,6092,6730,4758,8557,9591,5561,1881,8651,5542,8610,3578,3663,4492,8849,5467,11627,9439,3798,11664,9063,11627,11863,10446,3626,9600,6059,482,7933,5421,6307,5610,5684,4952,5113,11504,11564,1104,3877,,5070,8889,11507,11345,11325,10502,11319,11826,4533,5153,11262,11328,5316,3701,8947,6329,11027,3399,10118,5830,5813,11901,11494,9591,11588,6285,6583,11920,6882,11478,5846,11456,11253,11327,10687,6721,5552,11393,9677,
Savannah,8676,11343,5749,5352,1481,12803,6030,10670,3965,5718,6127,7306,4226,12500,3965,3663,11028,5371,12472,5305,1444,11775,1361,13948,3952,1209,13940,10874,12591,7293,1574,13676,1463,12827,602,8858,8806,13825,12041,13709,9260,12901,12596,13836,3474,5405,3795,6,10188,5860,977,5323,3439,1532,4404,1391,8436,13181,14054,10440,4732,12960,1356,12606,1225,1191,13632,14414,12511,10772,1168,4275,13785,8839,14060,13879,14151,11808,3534,3642,5523,13742,14421,3880,8635,13485,11190,3605,11149,13554,10409,8537,9001,9041,13692,14320,4440,5427,5506,5386,14520,12453,1366,3695,13722,5616,3328,4581,11885,12765,11862,11909,5487,5100,9135,8986,13834,9411,5719,3648,7165,8702,8634,13566,14105,14109,14053,11529,14157,964,10700,14056,13717,13243,5253,4641,9676,11353,8753,1141,3235,8733,1168,12038,1726,1471,1096,13767,4628,14614,14356,5439,13746,8225,13709,13945,12528,8544,8761,5220,5442,12850,4582,4218,3899,1353,4113,1128,13855,13826,4047,3392,5070,,11694,13846,14253,13404,12581,13974,14106,3503,4320,14056,14235,3470,5794,11025,4243,13106,8317,13132,4997,3826,13980,13681,8758,13667,5452,5750,14169,4796,13817,4031,13734,13332,13931,12766,5888,3832,13472,8838,
Semarang,4112,9696,5958,6683,12893,1187,5905,1221,7758,6198,9193,4465,7664,1716,7757,8900,858,7880,856,7866,12857,1201,12773,3284,7765,11369,3234,2260,1969,5065,11895,7385,12875,7948,11428,2923,3218,3160,1167,3045,5317,1411,992,3172,9130,11759,9305,11688,2296,9180,11029,7272,8666,10855,7660,12804,3886,2516,3308,2301,7346,3384,12769,1980,11189,11217,2967,3663,1899,2318,10680,10626,3126,3135,3314,3220,3400,1233,9226,8112,6222,3078,3757,9391,4070,2821,726,8234,747,2889,2324,3458,2737,4476,3028,7176,10330,7377,7799,7335,3811,1166,12778,9206,3057,6267,9213,7522,1160,1149,8804,1350,6840,6862,10177,4422,3174,5467,9039,8993,5239,4764,3338,2901,3440,3444,3307,4573,3492,11015,2241,3309,3057,2575,7203,10531,10216,384,4188,12553,9136,3154,12581,1164,10833,10918,11747,2338,7083,3950,6990,7856,3082,3682,3044,3280,1916,9740,4196,6672,8905,7935,7521,10107,9410,12766,7734,10955,3196,3166,8780,8711,8889,11694,,3197,3510,2749,1968,3258,3451,8300,7415,3319,3493,9155,7256,869,10159,2450,9551,1517,7017,9614,3325,3026,4203,3012,7402,6338,3514,10712,3167,9677,3084,2676,3235,2117,7242,9382,2816,4273,
Senboku,6264,7202,8110,8836,15046,2597,8058,3196,9910,8350,10610,6618,9817,1632,9909,11052,2832,10758,2444,10744,15009,2278,14925,996,9917,13704,252,4235,1529,7940,14475,4595,15027,5281,13580,5075,5370,873,3621,698,8126,3086,2715,494,11282,13911,11458,13840,4294,11068,13181,9425,10819,13419,9812,14956,6038,1085,367,4276,9498,3893,14921,1493,13529,13567,437,739,1741,4293,12832,12778,183,5287,373,48,476,2311,11379,10264,8374,731,1042,11543,6222,749,2700,10386,2721,382,4298,5610,4889,6628,257,4321,12482,9529,10678,9487,887,2180,14931,11358,840,8419,11365,9674,2206,2361,6290,2839,8992,9014,9422,6574,92,8276,10926,11145,8119,7573,5490,416,715,719,366,4953,767,13167,4215,369,217,637,9355,12683,8813,3309,6340,14705,12015,5306,14733,3618,13591,13363,14078,3363,9235,1235,4136,10735,735,5834,821,992,1944,9556,6349,8824,11090,5269,9673,12260,11562,14918,9886,13107,2,84,11659,10863,11507,13846,3197,,579,792,1529,289,725,10461,9577,369,561,11316,10146,2844,12320,1030,9508,2540,9178,11766,1045,254,6364,402,9563,8499,818,12873,39,11838,188,785,242,1231,9403,11544,859,6425,
Sendai,6670,6722,8517,9242,15452,2911,8464,3602,10317,8757,10447,7024,10223,2038,10316,11459,3239,11165,2774,11151,15415,2687,15332,1514,10323,14110,427,4641,1948,8347,14882,4089,15434,4801,13986,5481,5777,1391,3935,1216,8532,3400,3029,872,11689,14318,11864,14247,4701,10905,13588,9831,11225,13826,10218,15363,6445,1517,294,4682,9904,3959,15327,1913,13936,13974,955,194,2158,4699,13239,13184,737,5694,299,602,134,2719,11785,10671,8780,1249,505,11950,6629,1255,3107,10793,3128,813,4705,6017,5296,7035,775,3823,12889,9936,11084,9894,,2529,15337,11765,1359,8825,11772,10080,2612,2675,5810,3248,9399,9421,9001,6980,646,8683,10764,11551,8525,7980,5897,920,606,573,292,5007,516,13574,4622,295,708,1044,9761,13090,8339,3716,6747,15112,12421,5713,15139,3932,13997,13770,14484,3442,9642,710,3637,11141,1253,6240,1340,1511,2361,9195,6755,9231,10927,4789,10080,12666,11969,15324,10293,13513,578,638,12065,11269,11345,14253,3510,579,,1258,1948,348,616,10867,9983,310,,11722,10552,3250,12726,1461,,2812,9584,12172,1563,773,6770,921,9969,8905,710,13279,557,12244,735,1230,430,1650,9809,11950,1326,6832,
Shanghai,5822,7796,7668,8394,14604,2436,7616,2754,9469,7909,10809,6176,9375,1216,9468,10611,2390,10317,2114,10303,14567,1827,14484,689,9475,13262,923,3793,1077,7498,14033,5150,14585,5861,13138,4633,4928,566,3320,469,7684,2927,2554,666,10841,13469,11016,13398,3852,11267,12739,8983,10377,12977,9370,14514,5597,561,1039,3834,9056,4071,14479,1042,13087,13125,453,1259,1290,3851,12390,12336,663,4846,1044,768,1148,1859,10937,9822,7932,502,1271,11102,5781,222,2259,9945,2280,515,3856,5169,4448,6186,542,4857,12040,9088,10236,9046,1362,1792,14489,10916,462,7977,10924,9232,1790,2200,6884,2387,8551,8572,10059,6132,716,7834,11126,10703,7677,7132,5049,460,955,959,1038,5207,1007,12726,3773,1040,618,516,8913,12241,9412,2872,5898,14264,11573,4865,14291,3317,13149,12922,13636,3527,8793,1445,4672,10293,506,5392,449,686,1492,10169,5907,8383,11290,5849,9231,11818,11121,14476,9445,12665,791,708,11217,10421,11325,13404,2749,792,1258,,1079,969,965,10020,9136,1049,1241,10876,9706,2404,11880,521,10096,2461,8738,11324,729,540,5924,505,9123,8059,1008,12433,798,11398,619,,923,781,8963,11103,91,5984,
Shenzhen,4998,8560,6845,7570,13780,2105,6792,1930,8645,7085,10767,5352,8551,708,8644,9787,1567,9493,1600,9479,13743,998,13660,1612,8651,12438,1625,2969,,6675,13210,5956,13762,6640,12314,3809,4105,1489,2807,1373,6860,2594,2223,1500,10017,12646,10192,12575,3029,10756,11916,8159,9553,12154,8546,13691,4773,844,1740,3010,8232,4010,13655,71,12264,12302,1295,2081,,3027,11567,11512,1449,4022,1746,1549,1838,1031,10113,8999,7108,1406,2085,10278,4957,1149,1435,9121,1456,1217,3033,4345,3624,5363,1356,5679,11217,8264,9412,8222,2184,1279,13665,10093,1385,7153,10100,8408,1169,1869,7648,1559,7727,7749,10603,5308,1497,7011,10615,9879,6853,6308,4225,1230,1768,1772,1739,5155,1820,11902,2950,1742,1380,928,8089,11418,10132,2091,5075,13440,10749,4041,13467,2804,12325,12098,12812,3363,7970,2278,5494,9469,1410,4568,1372,1608,492,10290,5083,7559,10519,6627,8408,10994,10297,13652,8621,11842,1528,1490,10393,9597,10502,12581,1968,1529,1948,1079,,1667,1778,9195,8311,1749,1930,10050,8880,1578,11054,778,10102,2140,7912,10500,1652,1353,5098,1339,8297,7233,1841,11607,1498,10572,1406,1004,1623,377,8137,10278,1144,5160,
Shimizu,6391,6964,8238,8963,15173,2664,8185,3324,10038,8478,10421,6745,9944,1758,10037,11180,2960,10886,2522,10872,15137,2407,15053,1224,10045,13831,134,4362,1668,8068,14603,4356,15155,5042,13708,5203,5498,1101,3689,926,8253,3154,2783,722,11410,14039,11585,13968,4422,10879,13309,9552,10946,13547,9939,15084,6166,1228,128,4403,9625,3841,15048,1632,13657,13695,665,501,1878,4420,12960,12905,447,5415,134,312,238,2439,11506,10392,8501,959,811,11671,6350,966,2828,10514,2849,524,4426,5738,5017,6756,485,4083,12610,9657,10805,9615,649,,15058,11486,1069,8546,11493,9802,2332,2429,6052,2968,9120,9142,9242,6701,357,8404,10738,11272,8246,7701,5618,631,912,879,127,4889,822,13295,4343,130,418,763,9483,12811,8580,3437,6468,14833,12142,5434,14860,3686,13718,13491,14206,3324,9363,1008,3897,10862,963,5962,1050,1221,2081,9341,6476,8952,10902,5030,9801,12387,11690,15045,10014,13235,289,349,11786,10990,11319,13974,3258,289,348,969,1667,,918,10588,9704,134,326,11443,10273,2972,12448,1171,,2580,9305,11894,1274,483,6491,631,9690,8626,1012,13000,268,11965,446,941,135,1369,9530,11671,1036,6553,
Shinminato,6524,6975,8370,9096,15306,3030,8318,3456,10170,8610,10928,6878,10076,1909,10169,11312,3092,11018,2806,11004,15269,2529,15185,1162,10177,13964,909,4494,1779,8200,14735,4330,15287,5041,13840,5335,5630,1039,4013,864,8386,3519,3148,476,11542,14171,11717,14100,4554,11386,13441,9685,11079,13679,10072,15216,6298,1308,868,4536,9758,4424,15181,1743,13789,13827,586,439,1991,4552,13092,13038,597,5547,874,701,704,2561,11639,10524,8634,897,,11803,6482,922,2960,10646,2981,769,4558,5870,5149,6888,476,4037,12742,9789,10938,9747,542,2485,15191,11618,1007,8679,11625,9934,2483,2794,6063,3089,9252,9274,9239,6834,650,8536,11245,11405,8379,7833,5750,593,,,867,5488,130,13427,4475,870,552,996,9615,12943,8592,3573,6600,14965,12275,5566,14993,4010,13851,13623,14338,3883,9495,691,3852,10995,901,6094,988,1159,2194,9526,6608,9084,11408,5029,9933,12520,11822,15178,10146,13367,725,642,11919,11123,11826,14106,3451,725,616,965,1778,918,,10720,9836,885,625,11576,10405,3104,12580,1258,9568,2996,9438,12026,1212,473,6623,540,9823,8758,490,13133,739,12098,553,958,907,1480,9662,11803,1032,6685,
