from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bahrain,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Guanabara
Sakai LNG,6263,7202,8110,14062,9724,2596,8057,3195,12675,14428,10609,6425,6617,12936,1632,12675,12541,2831,10758,2444,10744,9692,2278,9636,995,12662,8892,251,4234,1528,7939,8082,4594,9721,5280,9949,5074,5370,872,3621,697,8125,3086,2714,493,12510,14528,12795,9645,4294,11067,10249,14033,12310,9239,13114,9662,6038,1085,367,4275,13442,3892,9631,1492,9037,9007,436,739,1740,4292,10402,13398,182,5287,372,47,476,2310,12570,12356,14233,730,1041,12881,6222,749,2700,12245,2721,381,4298,5610,4889,6627,256,4321,13559,14137,10677,14096,887,2180,9641,12696,840,14326,12383,13291,2206,2360,6290,2838,14197,13810,9421,6573,92,8275,10926,12592,8118,7573,5490,416,715,719,365,4952,767,10235,4214,368,217,636,13963,13760,8813,3309,6340,9505,10868,5306,9486,3617,9259,9256,8623,3362,13338,1234,4135,10734,734,5833,821,992,1943,9555,6348,13930,11089,5268,13292,13336,12900,9628,12823,10400,,83,11664,11877,11504,9631,3196,2,578,791,1528,289,725,12231,13006,369,561,12487,10146,2844,13342,1029,9507,2539,13683,12944,1044,253,6364,402,14138,14436,818,13895,38,13111,188,784,242,1230,14574,12816,859,
Sakaide,6236,7258,8082,14118,9781,2610,8030,3168,12732,14485,10665,6397,6590,12993,1611,12731,12597,2804,10731,2450,10717,9749,2241,9692,914,12719,8949,307,4207,1491,7912,8138,4651,9778,5336,10006,5047,5342,791,3634,615,8098,3098,2728,411,12566,14585,12852,9701,4266,11124,10305,14089,12366,9295,13170,9719,6010,1048,423,4248,13499,3949,9688,1455,9093,9063,355,795,1704,4265,10459,13455,101,5260,429,59,532,2273,12626,12413,14290,649,959,12938,6195,667,2673,12302,2693,344,4270,5582,4861,6600,174,4377,13615,14194,10650,14152,943,2177,9697,12752,758,14383,12440,13347,2185,2374,6346,2801,14254,13867,9478,6546,10,8248,10982,12649,8091,7546,5462,334,633,637,422,5009,685,10292,4187,425,135,616,14020,13816,8869,3285,6312,9562,10924,5279,9542,3631,9316,9312,8680,3419,13395,1152,4192,10707,653,5806,739,910,1906,9612,6321,13987,11146,5325,13349,13393,12957,9685,12880,10457,83,,11635,11937,11564,9691,3166,84,638,708,1490,349,642,12291,13066,429,621,12547,10116,2815,13402,990,9567,2570,13743,13001,961,170,6334,319,14198,14496,735,13955,98,13171,105,701,302,1191,14634,12876,776,
Salvador,9486,4517,11332,5174,4757,9629,11279,8479,3787,5541,2161,9647,9840,4048,10287,3787,4084,8837,2954,9427,2892,4725,9585,4669,11757,3774,3091,11522,8900,10400,3757,3617,7360,4754,6496,4107,8311,8606,11634,8505,11519,5724,9468,9318,11646,4297,6839,4483,4041,8214,1894,4069,5145,3851,2577,4226,4695,9260,10990,11392,8466,4555,8989,4664,10415,2911,2939,11441,11114,10321,8798,3947,5706,11595,8524,11398,11688,11266,9617,4388,3532,5346,11552,11189,4569,9444,11295,8999,3288,8958,11363,8435,8834,8138,9850,11501,8003,5508,5250,3058,5208,10946,9738,4674,4384,11531,5439,4303,4403,9674,9642,5411,9718,5309,4922,5163,9796,11643,5874,1753,4177,3629,5165,8716,11375,11452,11419,11391,7557,11362,4055,8726,11393,11526,11053,5075,5709,5096,8448,9562,4538,858,8543,4519,8502,2555,2641,3469,9795,4451,10967,8040,3017,11556,9056,11518,11754,10338,4572,9570,5042,1477,6520,4405,5285,4588,4661,3935,4091,11664,11635,,2851,1104,4047,8780,11659,11209,11217,10393,11450,11469,3516,4137,11413,11218,4294,3060,8838,5307,10918,4345,10009,4814,4791,11793,11493,9578,11480,5269,5567,11493,5860,11629,4824,11547,11144,11532,10578,5705,4530,11284,
Santa Cruz de Tenerife,10628,4719,12474,2378,4533,10772,12422,9621,991,2745,4931,10789,10982,1252,11430,991,1284,9980,2732,10569,2666,4496,10727,4412,12679,978,3089,11724,10042,11542,4899,3820,7562,4514,6699,3183,9453,9748,12556,9647,12381,6866,10613,10461,11920,1514,4109,1689,3396,9356,4664,2832,2349,1050,,1430,4443,10402,12132,11594,9608,1759,11686,4408,11557,2901,2939,12102,11316,11463,9940,2522,2975,12035,9666,11600,11900,11469,10759,1610,724,2550,12414,11391,1775,10586,12441,10141,495,10100,12112,9577,9977,9280,10992,12007,8205,2713,2454,2867,2412,11149,10880,4418,1589,12523,2643,1563,1607,10816,10784,5614,10860,2513,2126,5970,10938,11945,7017,4523,1376,4771,6308,9858,12121,11654,11621,11593,10319,11564,2819,9868,11596,12006,12195,2279,2914,5298,9590,10704,4192,,9685,4220,9644,2849,,3474,11647,1655,11169,8242,2800,12418,10198,12504,12675,11480,6465,10713,2246,4247,6722,1609,2491,1794,4405,1139,2767,11877,11937,2851,,3877,3392,9924,11900,11417,12361,11538,11658,11677,694,1336,11621,11426,1504,3158,9982,2508,12063,6664,11154,2014,1997,12741,12018,10723,12066,2468,2767,11701,3061,11871,2026,12047,12289,11741,11723,2905,1732,12429,
Sao Francisco do Sul,9594,5540,11441,6190,5780,9738,11388,8588,4804,6557,1173,9756,9948,5065,10396,4803,5106,8946,3741,9536,3683,5748,9693,5691,11866,4791,4114,11320,9009,10509,3865,4640,8382,5777,7519,5130,8420,8715,11743,8614,11627,5833,9577,9427,11734,5319,7862,5505,5064,8322,904,5092,6161,4873,3600,5242,5718,9369,11099,11249,8574,5571,8042,5687,10524,3934,3962,11550,11417,10429,8906,4970,6729,11499,8632,11255,11528,11285,9726,5409,4548,6362,11660,11714,5591,9553,11403,9108,4304,9067,11400,8544,8943,8247,9959,11497,9026,6529,6266,3823,6224,11423,9846,5697,5406,11640,6455,5326,5419,9783,9751,6434,9827,6326,5939,4217,9904,11572,5983,763,5199,3737,5274,8824,11484,11815,11782,11248,6611,11725,5078,8835,11251,11430,11161,6092,6730,4758,8557,9671,5561,1881,8651,5542,8610,3578,3663,4492,8849,5467,11627,9062,3798,11664,9164,11627,11863,10446,3626,9679,6059,482,7543,5421,6307,5610,5684,4952,5113,11504,11564,1104,3877,,5070,8889,11507,11345,11325,10502,11319,11826,4533,5153,11262,11328,5316,3701,8947,6329,11027,3399,10118,5830,5813,11901,11494,9687,11588,6285,6583,11920,6882,11478,5846,11456,11253,11327,10687,6721,5552,11393,
Savannah,13022,2473,14868,5352,1481,11107,14816,12015,3965,5718,6127,13183,13376,4226,11075,3965,3663,12282,5371,11457,5305,1444,11723,1361,10433,3952,1209,9478,12436,10996,7293,1574,5316,1463,4453,602,11847,12142,10310,11871,10135,9260,11058,11149,9674,3474,5405,3795,6,11750,5860,977,5323,3439,1532,4404,1391,12796,10569,9348,12002,4732,9470,1356,10960,1225,1191,9856,9070,11206,12334,1168,4275,9789,12060,9354,9655,9223,11756,3534,3642,5523,10168,9145,3880,12980,10195,12150,3605,12171,9866,11971,12371,11674,13386,9761,5959,4440,5427,5506,5386,8903,11329,1366,3695,10277,5616,3328,4581,11617,11195,3368,12284,5487,5100,3724,13332,9699,9411,5719,3648,7165,8702,12252,9875,9408,9375,9347,8328,9318,964,12262,9350,9760,10094,5253,4641,3052,11984,13098,1141,3235,12079,1168,11868,1726,1471,1096,9814,4628,8923,5996,5439,10172,12592,10258,10429,11409,4219,13107,5220,5442,4476,4582,4218,3899,1353,4113,1128,9631,9691,4047,3392,5070,,12134,9651,9168,10249,11006,9409,9429,3503,4320,9373,9177,3470,5794,12304,4243,10523,4415,11058,4997,3826,10492,9769,13114,9817,5452,5750,9452,4796,9622,4031,9798,10242,9492,10707,5888,3832,10316,
Semarang,4112,9696,5958,12226,12208,1187,5905,1221,10839,12592,9193,4273,4465,11100,1716,10839,11168,858,7880,856,7866,12176,1201,12119,3284,10826,11376,3234,2260,1969,5065,10565,7385,12205,7948,12319,2923,3218,3160,1167,3045,5317,1411,992,3172,11398,13995,11573,12128,2296,9180,12189,12197,10934,10855,11278,12146,3886,2516,3308,2301,11606,3384,12115,1980,11189,11217,2967,3663,1899,2318,11949,12861,3126,3135,3314,3220,3400,1233,11494,10584,12397,3078,3757,11659,4070,2821,726,10340,747,2889,2324,3458,2737,4476,3028,7176,12598,12302,7799,12260,3811,1166,12124,11474,3057,12491,11449,11455,1160,1149,8804,1350,12361,11974,10177,4422,3174,5467,9039,11260,5239,4764,3338,2901,3440,3444,3307,4573,3492,12176,2241,3309,3057,2575,12127,12799,10216,384,4188,11989,9136,3154,11969,1164,10833,10918,11107,2338,11502,3950,6990,7856,3082,3682,3044,3280,1916,9740,4196,12094,8905,7935,11456,12375,11678,12112,10987,12151,3196,3166,8780,9924,8889,12134,,3197,3510,2749,1968,3258,3451,10570,11184,3319,3493,11390,7256,869,12395,2450,9551,1517,11861,11882,3325,3026,4203,3012,12316,12614,3514,12947,3167,11912,3084,2676,3235,2117,12752,11618,2816,
Senboku,6264,7202,8110,14062,9725,2597,8058,3196,12676,14429,10610,6425,6618,12937,1632,12675,12541,2832,10758,2444,10744,9693,2278,9636,996,12663,8893,252,4235,1529,7940,8082,4595,9722,5281,9950,5075,5370,873,3621,698,8126,3086,2715,494,12510,14529,12796,9645,4294,11068,10249,14033,12310,9239,13114,9663,6038,1085,367,4276,13443,3893,9632,1493,9037,9007,437,739,1741,4293,10403,13399,183,5287,373,48,476,2311,12570,12357,14234,731,1042,12882,6222,749,2700,12246,2721,382,4298,5610,4889,6628,257,4321,13559,14138,10678,14096,887,2180,9641,12696,840,14327,12384,13291,2206,2361,6290,2839,14198,13811,9422,6574,92,8276,10926,12593,8119,7573,5490,416,715,719,366,4953,767,10236,4215,369,217,637,13964,13760,8813,3309,6340,9506,10868,5306,9486,3618,9260,9256,8624,3363,13339,1235,4136,10735,735,5834,821,992,1944,9556,6349,13931,11090,5269,13293,13337,12901,9629,12824,10401,2,84,11659,11900,11507,9651,3197,,579,792,1529,289,725,12232,13006,369,561,12487,10146,2844,13343,1030,9508,2540,13684,12945,1045,254,6364,402,14138,14437,818,13896,39,13111,188,785,242,1231,14575,12817,859,
Sendai,6670,6722,8517,13579,9241,2911,8464,3602,12193,13946,10447,6832,7024,12454,2038,12192,12058,3239,11165,2774,11151,9210,2687,9153,1514,12180,8410,427,4641,1948,8347,7599,4089,9238,4801,9467,5481,5777,1391,3935,1216,8532,3400,3029,872,12027,14046,12313,9162,4701,10905,9766,13550,11827,8756,12631,9180,6445,1517,294,4682,12960,3959,9149,1913,8554,8524,955,194,2158,4699,9920,12915,737,5694,299,602,134,2719,12087,11874,13751,1249,505,12399,6629,1255,3107,11763,3128,813,4705,6017,5296,7035,775,3823,13076,13655,11084,13613,,2529,9158,12213,1359,13844,11901,12808,2612,2675,5810,3248,13714,13328,9001,6980,646,8683,10764,12109,8525,7980,5897,920,606,573,292,5007,516,9753,4622,295,708,1044,13481,13277,8339,3716,6747,9022,10385,5713,9003,3932,8777,8773,8141,3442,12856,710,3637,11141,1253,6240,1340,1511,2361,9195,6755,13448,10927,4789,12810,12854,12418,9146,12341,9917,578,638,11209,11417,11345,9168,3510,579,,1258,1948,348,616,11759,12533,310,,12014,10552,3250,12869,1461,,2812,13210,12462,1563,773,6770,921,13665,13963,710,13422,557,12638,735,1230,430,1650,14102,12344,1326,
Shanghai,5822,7796,7668,14660,10322,2436,7616,2754,13273,15027,10809,5984,6176,13534,1216,13273,13139,2390,10317,2114,10303,10291,1827,10234,689,13260,9490,923,3793,1077,7498,8680,5150,10319,5861,10547,4633,4928,566,3320,469,7684,2927,2554,666,13108,15127,13393,10243,3852,11267,10847,14631,12908,9837,13712,10260,5597,561,1039,3834,14040,4071,10229,1042,9635,9605,453,1259,1290,3851,11001,13996,663,4846,1044,768,1148,1859,13168,12954,14831,502,1271,13479,5781,222,2259,12777,2280,515,3856,5169,4448,6186,542,4857,14157,14736,10236,14694,1362,1792,10239,13294,462,14925,12981,13889,1790,2200,6884,2387,14795,14408,10059,6132,716,7834,11126,13190,7677,7132,5049,460,955,959,1038,5207,1007,10833,3773,1040,618,516,14561,14358,9412,2872,5898,10103,11466,4865,10084,3317,9857,9854,9221,3527,13937,1445,4672,10293,506,5392,449,686,1492,10169,5907,14528,11290,5849,13890,13934,13498,10226,13421,10998,791,708,11217,12361,11325,10249,2749,792,1258,,1079,969,965,12839,13613,1049,1241,13094,9706,2404,13950,521,10096,2461,14291,13542,729,540,5924,505,14745,15044,1008,14503,798,13718,619,,923,781,15182,13424,91,
Shenzhen,4998,8560,6845,13839,11079,2105,6792,1930,12453,14206,10767,5160,5352,12714,708,12452,12781,1567,9493,1600,9479,11047,998,10991,1612,12439,10247,1625,2969,,6675,9437,5956,11076,6640,11304,3809,4105,1489,2807,1373,6860,2594,2223,1500,13012,15608,13187,11000,3029,10756,11604,13810,12548,10594,12891,11017,4773,844,1740,3010,13220,4010,10986,71,10392,10362,1295,2081,,3027,11757,14474,1449,4022,1746,1549,1838,1031,13108,12197,14011,1406,2085,13272,4957,1149,1435,11953,1456,1217,3033,4345,3624,5363,1356,5679,14211,13915,9412,13873,2184,1279,10996,13087,1385,14104,13063,13068,1169,1869,7648,1559,13974,13587,10603,5308,1497,7011,10615,12874,6853,6308,4225,1230,1768,1772,1739,5155,1820,11590,2950,1742,1380,928,13740,14412,10132,2091,5075,10860,10749,4041,10841,2804,10614,10611,9978,3363,13116,2278,5494,9469,1410,4568,1372,1608,492,10290,5083,13708,10519,6627,13070,13989,13291,10983,12600,11755,1528,1490,10393,11538,10502,11006,1968,1529,1948,1079,,1667,1778,12194,12808,1749,1930,13014,8880,1578,14018,778,10102,2140,13485,13495,1652,1353,5098,1339,13940,14238,1841,14571,1498,13536,1406,1004,1623,377,14376,13242,1144,
Shimizu,6391,6964,8238,13820,9483,2664,8185,3324,12434,14187,10421,6553,6745,12695,1758,12433,12299,2960,10886,2522,10872,9451,2407,9394,1224,12421,8651,134,4362,1668,8068,7841,4356,9480,5042,9708,5203,5498,1101,3689,926,8253,3154,2783,722,12268,14287,12554,9404,4422,10879,10008,13791,12068,8997,12872,9421,6166,1228,128,4403,13201,3841,9390,1632,8796,8766,665,501,1878,4420,10161,13157,447,5415,134,312,238,2439,12328,12115,13992,959,811,12640,6350,966,2828,12004,2849,524,4426,5738,5017,6756,485,4083,13317,13896,10805,13854,649,,9400,12455,1069,14085,12142,13050,2332,2429,6052,2968,13956,13569,9242,6701,357,8404,10738,12351,8246,7701,5618,631,912,879,127,4889,822,9994,4343,130,418,763,13722,13518,8580,3437,6468,9264,10627,5434,9245,3686,9018,9015,8382,3324,13097,1008,3897,10862,963,5962,1050,1221,2081,9341,6476,13689,10902,5030,13051,13095,12659,9387,12582,10159,289,349,11450,11658,11319,9409,3258,289,348,969,1667,,918,11996,12770,134,326,12251,10273,2972,13106,1171,,2580,13447,12703,1274,483,6491,631,13902,14200,1012,13659,268,12875,446,941,135,1369,14338,12580,1036,
Shinminato,6524,6975,8370,13840,9502,3030,8318,3456,12453,14206,10928,6685,6878,12714,1909,12453,12319,3092,11018,2806,11004,9470,2529,9413,1162,12440,8670,909,4494,1779,8200,7860,4330,9499,5041,9727,5335,5630,1039,4013,864,8386,3519,3148,476,12287,14306,12573,9423,4554,11386,10027,13811,12088,9016,12892,9440,6298,1308,868,4536,13220,4424,9409,1743,8815,8785,586,439,1991,4552,10180,13176,597,5547,874,701,704,2561,12347,12134,14011,897,,12659,6482,922,2960,12023,2981,769,4558,5870,5149,6888,476,4037,13336,13915,10938,13873,542,2485,9419,12474,1007,14104,12161,13069,2483,2794,6063,3089,13975,13588,9239,6834,650,8536,11245,12370,8379,7833,5750,593,,,867,5488,130,10013,4475,870,552,996,13741,13538,8592,3573,6600,9283,10646,5566,9264,4010,9037,9034,8401,3883,13116,691,3852,10995,901,6094,988,1159,2194,9526,6608,13708,11408,5029,13070,13114,12678,9406,12601,10178,725,642,11469,11677,11826,9429,3451,725,616,965,1778,918,,12019,12793,885,625,12274,10405,3104,13130,1258,9568,2996,13471,12722,1212,473,6623,540,13926,14224,490,13683,739,12898,553,958,907,1480,14362,12604,1032,
Sines,11281,5074,13127,1957,4721,11425,13075,10275,570,2324,5591,11442,11635,831,12083,570,667,10633,3385,11222,3320,4685,11380,4601,13033,557,3403,12079,10695,12195,5552,4174,7916,4703,7053,3238,10106,10402,12910,10300,12735,7519,11263,11114,12275,898,3526,1073,3497,10009,5324,2832,1928,434,3136,1009,4632,11055,12785,11949,10261,1337,12071,4596,12210,3233,3271,12457,11671,12116,10593,2477,2393,12390,10319,11954,12255,11823,11412,994,247,2128,12768,11746,1158,11239,12796,10794,314,10753,12466,10230,10630,9933,11645,12362,8560,2097,2033,3520,1991,11503,11533,4606,973,12878,2222,980,1186,11469,11437,5968,11513,2092,1705,6325,11591,12299,7670,5183,760,5424,6961,10511,12476,12009,11975,11948,10928,11919,2818,10521,11950,12361,12694,1858,2298,5653,10243,11357,4381,3008,10338,4408,10297,3318,,3770,12300,1234,11524,8597,3453,12772,10851,12859,13030,12133,6820,11366,1825,4906,7077,1187,1875,1177,4593,718,2756,12231,12291,3516,694,4533,3503,10570,12232,11759,12839,12194,11996,12019,,897,11971,11776,910,3808,10633,1914,12713,7013,11804,1574,1381,13090,12368,11373,12416,2029,2327,12051,2467,12220,1432,12396,12840,12090,12373,2465,1137,12915,
Skikda,11894,5848,13741,1073,5519,12038,13688,10888,384,1439,6210,12056,12248,355,12696,383,1526,11246,3998,11836,3933,5483,11993,5399,13808,396,4177,12853,11309,12809,6165,4949,8691,5501,7828,4054,10720,11015,13685,10913,13510,8133,11874,11727,13049,1756,4385,1931,4314,10622,5943,3655,1044,1292,3893,410,5430,11669,13399,12723,10874,458,12845,5394,12824,4003,4041,13231,12445,12729,11206,3306,3251,13164,10932,12729,13030,12598,12026,1852,738,1244,13543,12521,2017,11853,13570,11408,860,11366,13241,10844,11243,10547,12258,13136,9334,2956,1148,4133,1106,12278,12146,5404,1832,13652,1337,1839,454,12083,12051,6743,12127,1208,821,7099,12204,13074,8283,5802,1618,6037,7574,11124,13250,12783,12750,12722,11598,12693,3641,11134,12725,13135,13461,974,3157,6427,10857,11971,5179,3641,10951,5206,10910,4064,3837,4552,12914,349,12298,9371,4066,13547,11464,13633,13805,12746,7594,11979,941,5526,7851,455,2733,2036,5391,384,3581,13006,13066,4137,1336,5153,4320,11184,13006,12533,13613,12808,12770,12793,897,,12743,12548,1772,4418,11243,2776,13324,7785,12415,709,2239,13862,13140,11983,13188,1164,1462,12822,3329,12992,2294,13168,13550,12862,12984,1601,1999,13687,
Sodegaura,6474,6927,8321,13784,9446,2722,8268,3406,12397,14150,10364,6636,6828,12658,1842,12397,12262,3042,10969,2583,10955,9414,2491,9357,1305,12384,8614,217,4445,1750,8150,7804,4318,9443,5005,9671,5285,5581,1181,3747,1006,8336,3210,2840,802,12231,14250,12517,9367,4505,10823,9971,13755,12032,8960,12836,9384,6249,1307,19,4486,13164,3850,9353,1715,8759,8729,745,463,1962,4503,10124,13120,527,5498,13,392,200,2523,12291,12078,13955,1039,774,12603,6433,1045,2911,11967,2932,604,4509,5821,5100,6838,565,4045,13280,13859,10888,13817,611,2332,9363,12418,1149,14048,12105,13013,2416,2486,6015,3051,13919,13532,9205,6784,437,8486,10681,12314,8329,7784,5701,710,875,841,20,4898,785,9957,4425,13,498,848,13685,13481,8543,3520,6551,9227,10590,5517,9208,3743,8981,8978,8345,3333,13060,970,3860,10945,1043,6044,1130,1301,2165,9306,6559,13652,10845,4993,13014,13058,12622,9350,12545,10122,369,429,11413,11621,11262,9373,3319,369,310,1049,1749,134,885,11971,12743,,285,12213,10354,3052,13069,1250,9277,2629,13410,12666,1353,562,6572,711,13864,14163,971,13622,347,12837,525,1020,220,1451,14301,12543,1115,
Soma,6653,6731,8499,13588,9250,2893,8447,3585,12202,13955,10430,6814,7007,12463,2021,12201,12067,3221,11148,2757,11134,9219,2669,9162,1497,12188,8418,409,4624,1931,8329,7608,4098,9247,4802,9476,5464,5759,1374,3918,1198,8515,3383,3011,881,12036,14055,12322,9171,4683,10888,9775,13559,11836,8765,12640,9189,6427,1499,276,4665,12969,3942,9158,,8563,8533,938,203,2141,4682,9929,12924,719,5677,282,585,,2702,12096,11883,13760,1232,514,12408,6611,1238,3089,11772,3110,796,4687,5999,5278,7017,757,3832,13085,13664,11067,13622,,2511,9167,12222,1341,13853,11910,12817,2595,2657,5819,3230,13723,13337,9010,6963,629,8665,10747,12118,8508,7962,5879,902,615,582,275,4990,525,9762,4604,277,690,1027,13489,13286,8348,3698,6729,9031,10394,5695,9012,3914,8786,8782,8150,3425,12865,719,3646,11124,1236,6223,1322,1493,2344,,6738,13457,10911,4788,12819,12863,12427,9155,12349,9926,561,621,11218,11426,11328,9177,3493,561,,1241,1930,326,625,11776,12548,285,,12023,10535,3233,12878,1443,,2795,13219,12471,1546,755,6753,904,13674,13972,719,13431,540,12647,718,1213,413,1632,14111,12352,1308,
South Hook,12101,5329,13947,2812,4771,12245,13895,11095,1426,3179,6373,12263,12455,1687,12903,1425,555,11453,4205,12043,4140,4734,12200,4651,13289,1413,3660,12334,11515,13015,6372,4430,8172,4753,7309,3170,10926,11222,13166,11120,12990,8339,12084,11934,12530,3,2725,462,3464,10829,6106,2719,2783,534,3507,1864,4681,11875,13425,12204,11081,2193,12326,4646,13031,3526,3564,12712,11926,12936,11413,2365,1592,12645,11139,12210,12510,12078,12232,145,1103,2984,13024,12001,548,12060,13051,11614,1170,11573,12722,11050,11450,10753,12465,12617,8815,1486,2888,4340,2846,11759,12353,4656,363,13133,3077,346,2041,12289,12257,6224,12333,2948,2561,6580,12411,12555,8490,5965,407,6244,7781,11331,12731,12264,12231,12203,11184,12174,2706,11341,12206,12616,12950,2714,1688,5908,11064,12177,4431,3730,11158,4458,11117,3733,3442,3952,12670,2089,11779,8852,4273,13028,11671,13114,13285,12953,7075,12186,2681,5688,7332,2043,1264,567,4643,1574,2643,12487,12547,4294,1504,5316,3470,11390,12487,12014,13094,13014,12251,12274,910,1772,12213,12023,,4628,11453,1272,13379,7271,12625,2430,770,13348,12625,12193,12673,2885,3183,12308,1825,12478,790,12654,13097,12348,13193,3321,496,13172,
Soyo,7967,6579,9813,5459,6770,8110,9761,6960,4072,5826,4496,8128,8321,4333,8769,4072,4401,7319,738,7908,732,6733,8066,6649,10239,4059,5082,10231,7381,8881,2238,5680,9422,6751,8559,5678,6792,7087,10115,6986,10000,4205,7949,7799,10127,4631,7228,4806,5788,6695,4305,5475,5430,4168,4572,4511,6680,7741,9471,10345,6947,4839,9025,6645,8896,4877,4913,9922,10705,8802,7279,5193,6094,10076,7005,10350,10169,10442,8098,4727,3817,5630,10033,10712,4892,7925,9776,7480,3573,7439,9844,6916,7315,6619,8331,9983,10065,5831,5535,657,5493,10811,8219,6655,4707,10012,5724,4682,4688,8155,8123,7474,8199,5594,5207,6968,8277,10124,4356,4163,4494,2110,3647,7197,9856,10395,10399,10343,8974,10447,5461,7207,10346,10007,9534,5360,6032,7158,6929,8043,6429,3074,7024,6457,6983,4618,4611,5509,8986,4736,10905,10102,714,10037,7537,9999,10235,8819,6377,8051,5327,3942,8582,4689,5609,4911,6642,4220,5411,10146,10116,3060,3158,3701,5794,7256,10146,10552,9706,8880,10273,10405,3808,4418,10354,10535,4628,,7319,5632,9400,6150,8490,5099,5115,10274,9975,8059,9961,5554,5852,10463,6185,10110,5150,10028,9626,10224,9059,5990,4856,9765,
Sungai Udang,3443,9857,5289,12284,12377,1894,5237,375,10897,12650,9212,3605,3797,11158,1488,10897,11226,4,7938,1562,7924,12345,764,12289,2937,10884,11427,2929,1414,1580,5119,10735,7258,12374,7943,12377,2254,2550,2814,1887,2698,5305,2122,1698,2825,11456,14053,11631,12298,1473,9201,12248,12255,10992,10913,11336,12315,3218,2169,3043,1455,11664,4091,12284,1595,11247,11275,2620,3403,1500,1472,12007,12919,2774,2467,3049,2868,3140,796,11552,10642,12455,2731,3410,11717,3402,2474,178,10398,137,2543,1477,2790,2069,3807,2681,6985,12656,12360,7857,12318,3509,1442,12294,11532,2710,12549,11507,11513,873,1856,8945,897,12419,12032,10883,3753,2822,5455,9060,11318,5298,4753,2670,2555,3093,3097,3042,5280,3146,12234,1394,3044,2705,2232,12185,12857,10922,992,3520,12158,9194,2486,12139,1884,10891,10976,11276,3044,11561,3603,6800,7914,2735,3013,2697,2934,1517,10387,3528,12152,8963,7931,11514,12433,11736,12281,11045,12209,2844,2815,8838,9982,8947,12304,869,2844,3250,2404,1578,2972,3104,10633,11243,3052,3233,11453,7319,,12460,2095,10163,2214,11926,11940,2969,2670,3539,2656,12381,12679,3158,13013,2805,11977,2723,2321,2919,1754,12817,11683,2460,
